ICD10,PheCode,ICD10 String,Phenotype,Excl. Phecodes,Excl. Phenotypes,category
C78.8,198.3,Secondary malignant neoplasm of other and unspecified digestive organs,Secondary malignant neoplasm of digestive systems,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.0,198,Secondary malignant neoplasm of kidney and renal pelvis,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.1,198,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.2,198.7,Secondary malignant neoplasm of skin,Secondary malignant neoplasm of skin,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.3,198.5,Secondary malignant neoplasm of brain and cerebral meninges,Secondary malignancy of brain/spine,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.4,198.5,Secondary malignant neoplasm of other and unspecified parts of nervous system,Secondary malignancy of brain/spine,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.5,198.6,Secondary malignant neoplasm of bone and bone marrow,Secondary malignancy of bone,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.6,198,Secondary malignant neoplasm of ovary,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.7,198,Secondary malignant neoplasm of adrenal gland,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C79.8,198,Secondary malignant neoplasm of other specified sites,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C80,195.1,"Malignant neoplasm, without specification of site","Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
C81,201,Hodgkin lymphoma,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C81.0,201,Nodular lymphocyte predominant Hodgkin lymphoma,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C81.1,201,Nodular sclerosis classical Hodgkin lymphoma,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C81.2,201,Mixed cellularity classical Hodgkin lymphoma,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C81.3,201,Lymphocyte depleted classical Hodgkin lymphoma,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C81.7,201,Other classical Hodgkin lymphoma,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C81.9,201,"Hodgkin lymphoma, unspecified",Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C82,202.21,Follicular lymphoma,Nodular lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C82.0,202.2,Follicular lymphoma grade I,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C82.1,202.2,Follicular lymphoma grade II,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C82.2,202.2,"Follicular lymphoma grade III, unspecified",Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C82.7,202.2,Other types of follicular lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C82.9,202.21,"Follicular lymphoma, unspecified",Nodular lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83,202.2,Non-follicular lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.0,202.2,Small cell B-cell lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.1,202.2,Mantle cell lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.2,202.23,Mixed small and large cell (diffuse) non-Hodgkin's lymphoma,Lymphosarcoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.2,202.2,Mixed small and large cell (diffuse) non-Hodgkin's lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.3,202.24,Diffuse large B-cell lymphoma,Large cell lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.4,202.2,Immunoblastic (diffuse) non-Hodgkin's lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.5,202.2,Lymphoblastic (diffuse) lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.6,202.2,Undifferentiated (diffuse) non-Hodgkin's lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.7,202.2,Burkitt lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.8,202.2,Other non-follicular lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C83.9,202.2,"Non-follicular (diffuse) lymphoma, unspecified",Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C84,202.2,Mature T/NK-cell lymphomas,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C84.0,202.2,Mycosis fungoides,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C84.1,202.2,S̩zary disease,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C84.2,202.2,T-zone lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C84.3,202.2,Lymphoepithelioid lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C84.4,202.2,"Peripheral T-cell lymphoma, not elsewhere classified",Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C84.5,202.2,Other mature T/NK-cell lymphomas,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C85,202.2,Other and unspecified types of non-Hodgkin lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C85.0,202.23,Lymphosarcoma,Lymphosarcoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C85.1,202.2,"B-cell lymphoma, unspecified",Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C85.7,202.2,Other specified types of non-Hodgkin lymphoma,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C85.9,202.2,"Non-Hodgkin lymphoma, unspecified",Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C88,204.4,Malignant immunoproliferative diseases,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C88.0,270.35,Waldenstr̦m macroglobulinaemia,Macroglobulinemia,269-270.99,Disorders of amino-acid transport/metabolism,endocrine/metabolic
C88.1,204.4,Alpha heavy chain disease,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C88.2,204.4,Other heavy chain disease,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C88.3,204.4,Immunoproliferative small intestinal disease,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C88.7,200,Other malignant immunoproliferative diseases,Myeloproliferative disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C88.9,204.4,"Malignant immunoproliferative disease, unspecified",Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C90.0,204.4,Multiple myeloma,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C90.1,204,Plasma cell leukaemia,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C90.2,204.4,Extramedullary plasmacytoma,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91,204.1,Lymphoid leukaemia,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91.0,204.11,Acute lymphoblastic leukaemia [ALL],"Lymphoid leukemia, acute",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91.1,204.12,Chronic lymphocytic leukaemia of B-cell type,"Lymphoid leukemia, chronic",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91.2,204.1,Subacute lymphocytic leukemia,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91.3,204.1,Prolymphocytic leukaemia of B-cell type,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91.4,204,Hairy-cell leukaemia,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91.5,204.1,Adult T-cell lymphoma/leukaemia [HTLV-1-associated],Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91.7,204.1,Other lymphoid leukaemia,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C91.9,204.1,"Lymphoid leukaemia, unspecified",Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92,204.2,Myeloid leukaemia,Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92.0,204.21,Acute myeloblastic leukaemia [AML],"Myeloid leukemia, acute",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92.1,204.22,"Chronic myeloid leukaemia [CML], BCR/ABL-positive","Myeloid leukemia, chronic",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92.2,204.2,"Atypical chronic myeloid leukaemia, BCR/ABL- negative",Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92.3,204.2,Myeloid sarcoma,Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92.4,204.21,Acute promyelocytic leukaemia [PML],"Myeloid leukemia, acute",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92.5,204.21,Acute myelomonocytic leukaemia,"Myeloid leukemia, acute",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92.7,204.2,Other myeloid leukaemia,Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C92.9,204.2,"Myeloid leukaemia, unspecified",Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C93,204.3,Monocytic leukaemia,Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C93.0,204.3,Acute monoblastic/monocytic leukaemia,Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C93.1,204.3,Chronic myelomonocytic leukaemia,Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C93.2,204.3,Subacute monocytic leukemia,Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C93.7,204.3,Other monocytic leukaemia,Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C93.9,204.3,"Monocytic leukaemia, unspecified",Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C94.0,204,Acute erythroid leukaemia,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C94.1,204,Chronic erythremia,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C94.2,204,Acute megakaryoblastic leukaemia,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C94.3,204,Mast cell leukaemia,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C94.4,200,Acute panmyelosis with myelofibrosis,Myeloproliferative disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C94.5,200,Acute myelofibrosis,Myeloproliferative disease,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C94.7,204,Other specified leukaemias,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C95,204,Leukaemia of unspecified cell type,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C95.0,204,Acute leukaemia of unspecified cell type,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C95.1,204,Chronic leukaemia of unspecified cell type,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C95.2,204,Subacute leukemia of unspecified cell type,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C95.7,204,Other leukaemia of unspecified cell type,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C95.9,204,"Leukaemia, unspecified",Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C96.0,202,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],"Cancer of other lymphoid, histiocytic tissue",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C96.0,277,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],Other disorders of metabolism,277-277.99,Other/unspecified disorders of metabolism,endocrine/metabolic
C96.1,202,Malignant histiocytosis,"Cancer of other lymphoid, histiocytic tissue",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C96.2,202,Malignant mast cell tumour,"Cancer of other lymphoid, histiocytic tissue",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C96.3,202,True histiocytic lymphoma,"Cancer of other lymphoid, histiocytic tissue",200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C96.7,202.2,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue",Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C96.9,202.2,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified",Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,neoplasms
C97,195.1,Malignant neoplasms of independent (primary) multiple sites,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
D00.0,145,"Carcinoma in situ: Lip, oral cavity and pharynx",Cancer of mouth,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D00.1,150,Carcinoma in situ: Oesophagus,Cancer of esophagus,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,neoplasms
D00.2,151,Carcinoma in situ: Stomach,Cancer of stomach,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,neoplasms
D01,159,Carcinoma in situ of other and unspecified digestive organs,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,neoplasms
D01.0,153.2,Carcinoma in situ: Colon,Colon cancer,"150-159.99, 208-208.99",GI cancer; benign neoplasms of colon,neoplasms
D01.1,153.3,Carcinoma in situ: Rectosigmoid junction,"Malignant neoplasm of rectum, rectosigmoid junction, and anus","150-159.99, 208-208.99",GI cancer; benign neoplasms of colon,neoplasms
D01.2,153.3,Carcinoma in situ: Rectum,"Malignant neoplasm of rectum, rectosigmoid junction, and anus","150-159.99, 208-208.99",GI cancer; benign neoplasms of colon,neoplasms
D01.3,153.3,Carcinoma in situ: Anus and anal canal,"Malignant neoplasm of rectum, rectosigmoid junction, and anus","150-159.99, 208-208.99",GI cancer; benign neoplasms of colon,neoplasms
D01.4,159.2,Carcinoma in situ: Other and unspecified parts of intestine,"Malignant neoplasm of small intestine, including duodenum","140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,neoplasms
D01.5,155,"Carcinoma in situ: Liver, gallbladder and bile ducts",Cancer of liver and intrahepatic bile duct,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,neoplasms
D01.7,159,Carcinoma in situ: Other specified digestive organs,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,neoplasms
D01.9,159,"Carcinoma in situ: Digestive organ, unspecified",Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,neoplasms
D02.0,149.4,Carcinoma in situ: Larynx,Cancer of larynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D02.1,165,Carcinoma in situ: Trachea,Cancer within the respiratory system,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,neoplasms
D02.2,165.1,Carcinoma in situ: Bronchus and lung,Cancer of bronchus; lung,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,neoplasms
D02.3,165,Carcinoma in situ: Other parts of respiratory system,Cancer within the respiratory system,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,neoplasms
D02.4,165,"Carcinoma in situ: Respiratory system, unspecified",Cancer within the respiratory system,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,neoplasms
D03,172.11,Melanoma in situ,Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.0,172.11,Melanoma in situ of lip,Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.1,172.11,"Melanoma in situ of eyelid, including canthus",Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.2,172.11,Melanoma in situ of ear and external auricular canal,Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.3,172.11,Melanoma in situ of other and unspecified parts of face,Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.4,172.11,Melanoma in situ of scalp and neck,Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.5,172.11,Melanoma in situ of trunk,Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.6,172.11,"Melanoma in situ of upper limb, including shoulder",Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.7,172.11,"Melanoma in situ of lower limb, including hip",Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.8,172.11,Melanoma in situ of other sites,Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D03.9,172.11,"Melanoma in situ, unspecified",Melanomas of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04,172.3,Carcinoma in situ of skin,Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.0,172.3,Carcinoma in situ: Skin of lip,Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.1,172.3,"Carcinoma in situ: Skin of eyelid, including canthus",Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.2,172.3,Carcinoma in situ: Skin of ear and external auricular canal,Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.3,172.3,Carcinoma in situ: Skin of other and unspecified parts of face,Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.4,172.3,Carcinoma in situ: Skin of scalp and neck,Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.5,172.3,Carcinoma in situ: Skin of trunk,Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.6,172.3,"Carcinoma in situ: Skin of upper limb, including shoulder",Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.7,172.3,"Carcinoma in situ: Skin of lower limb, including hip",Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.8,172.3,Carcinoma in situ: Skin of other sites,Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D04.9,172.3,"Carcinoma in situ: Skin, unspecified",Carcinoma in situ of skin,172-173.99,Malignant neoplasm of skin,neoplasms
D05,174.1,Carcinoma in situ of breast,Breast cancer [female],"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia,neoplasms
D05.0,195,Lobular carcinoma in situ,"Cancer, suspected or other",195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
D05.0,187,Lobular carcinoma in situ,Cancer of other male genital organs,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs,neoplasms
D05.1,174.1,Intraductal carcinoma in situ,Breast cancer [female],"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia,neoplasms
D05.7,174.1,Other carcinoma in situ of breast,Breast cancer [female],"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia,neoplasms
D05.9,174.1,"Carcinoma in situ of breast, unspecified",Breast cancer [female],"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia,neoplasms
D06,180.3,Carcinoma in situ of cervix uteri,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear,neoplasms
D06.0,180.3,Carcinoma in situ: Endocervix,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear,neoplasms
D06.1,180.3,Carcinoma in situ: Exocervix,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear,neoplasms
D06.7,180.3,Carcinoma in situ: Other parts of cervix,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear,neoplasms
D06.9,180.3,"Carcinoma in situ: Cervix, unspecified",Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],"174-184.99, 218-218.99, 792-792.99",cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear,neoplasms
D07.0,182,Carcinoma in situ: Endometrium,Malignant neoplasm of uterus,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus,neoplasms
D07.1,184.2,Carcinoma in situ: Vulva,"Cancer of other female genital organs, excluding uterus and ovary","174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs,neoplasms
D07.2,184.2,Carcinoma in situ: Vagina,"Cancer of other female genital organs, excluding uterus and ovary","174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs,neoplasms
D07.3,184.2,Carcinoma in situ: Other and unspecified female genital organs,"Cancer of other female genital organs, excluding uterus and ovary","174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs,neoplasms
D07.4,187,Carcinoma in situ: Penis,Cancer of other male genital organs,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs,neoplasms
D07.5,185,Carcinoma in situ: Prostate,Cancer of prostate,"185-187.99, 796-796.99, 600-602.99",male genital disorders/cancer/neoplasms; elevated psa,neoplasms
D07.6,187,Carcinoma in situ: Other and unspecified male genital organs,Cancer of other male genital organs,"185-187.99, 222-222.99",cancer/benign neoplasm of male genital organs,neoplasms
D09,195,Carcinoma in situ of other and unspecified sites,"Cancer, suspected or other",195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
D09.0,189.2,Carcinoma in situ: Bladder,Cancer of bladder,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs",neoplasms
D09.1,189,Carcinoma in situ: Other and unspecified urinary organs,Cancer of urinary organs (incl. kidney and bladder),188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs",neoplasms
D09.2,190,Carcinoma in situ: Eye,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",neoplasms
D09.3,195,Carcinoma in situ: Thyroid and other endocrine glands,"Cancer, suspected or other",195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
D09.7,195,Carcinoma in situ of other specified sites,"Cancer, suspected or other",195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
D09.9,195,"Carcinoma in situ, unspecified","Cancer, suspected or other",195-199.99,"Neoplasms: malignant, secondary or uncertain",neoplasms
D10,210,Benign neoplasm of mouth and pharynx,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.0,210,Benign neoplasm: Lip,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.1,210,Benign neoplasm: Tongue,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.2,210,Benign neoplasm: Floor of mouth,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.3,210,Benign neoplasm: Other and unspecified parts of mouth,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.4,210,Benign neoplasm: Tonsil,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.5,210,Benign neoplasm: Other parts of oropharynx,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.6,210,Benign neoplasm: Nasopharynx,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.7,210,Benign neoplasm: Hypopharynx,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D10.9,210,"Benign neoplasm: Pharynx, unspecified","Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D11,210,Benign neoplasm of major salivary glands,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D11.0,210,Benign neoplasm: Parotid gland,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D11.7,210,Benign neoplasm: Other major salivary glands,"Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D11.9,210,"Benign neoplasm: Major salivary gland, unspecified","Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",neoplasms
D12,208,"Benign neoplasm of colon, rectum, anus and anal canal",Benign neoplasm of colon,"153-153.99, 208-208.99",Benign and malignant neoplasm of colon,neoplasms
D12.0,208,Benign neoplasm: Caecum,Benign neoplasm of colon,"153-153.99, 208-208.99",Benign and malignant neoplasm of colon,neoplasms
D12.1,208,Benign neoplasm: Appendix,Benign neoplasm of colon,"153-153.99, 208-208.99",Benign and malignant neoplasm of colon,neoplasms
D12.2,208,Benign neoplasm: Ascending colon,Benign neoplasm of colon,"153-153.99, 208-208.99",Benign and malignant neoplasm of colon,neoplasms
D12.3,208,Benign neoplasm: Transverse colon,Benign neoplasm of colon,"153-153.99, 208-208.99",Benign and malignant neoplasm of colon,neoplasms
D12.4,208,Benign neoplasm: Descending colon,Benign neoplasm of colon,"153-153.99, 208-208.99",Benign and malignant neoplasm of colon,neoplasms
